SampleID,Predator.Final,Year,Month,Season,Location,SubSiteID,Complex,RegionCode,Estuary,Latitude,Longitude,Chinook,Chum,Coho,Hake,Herring,Pink,Sockeye
Ej16.C029,Harbour,2016,Jul,Summer,Vivian,H0112,Vivian_Island,SOG,Non-Estuary,49.8404,-124.70014,0,0,0,71.15768463,0,0,0
Ej16.C041,Harbour,2016,Jul,Summer,Vivian,H0112,Vivian_Island,SOG,Non-Estuary,49.8404,-124.70014,0,0,0,89.03225806,0,0,0
Ej16.C053,Harbour,2016,Jul,Summer,Vivian,H0112,Vivian_Island,SOG,Non-Estuary,49.8404,-124.70014,0,0,0,75.83742742,0,0,0
Ej16.C062,Harbour,2016,Oct,Fall,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,100,0,0,0,0,0
Ej16.C063,Harbour,2016,Oct,Fall,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,46.99683878,0,0,0
Ej16.C065,Harbour,2016,Nov,Fall,Vivian,H0112,Vivian_Island,SOG,Non-Estuary,49.8404,-124.70014,0,59.02851109,0,3.326293559,2.534318902,0,0
Ej16.E066,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Ej16.E067,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,34.63751438,0,0,35.81127733,0,0
Ej16.E070,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,88.85324779,0,6.495589415,3.608660786,0,0
Ej16.E072,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,91.24087591,4.866180049,0,0
Ej16.E074,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0.364741641,0,1.458966565,98.17629179,0,0
Ej16.E075,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
Ej16.E077,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,1.75879397,0,84.17085427,9.798994975,0,0
Ej16.E078,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,1.352532891,36.51838807,0,4.532269761,18.34662799,1.57795504,0
Ej16.E080,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,1.809367485,3.812595772,0.775443208,14.9068323,65.40007307,0,0
Ej16.E081,Harbour,2016,Nov,Fall,Flora,H0099,Flora_Islet,SOG,Non-Estuary,49.5155,-124.5721,0,0,0,0,100,0,0
