SampleID,Predator.Final,sex,Year,Month,Season,Location,SubSiteID,Complex,RegionCode,Estuary,Latitude,Longitude,Chinook,Chum,Coho,Pink,Sockeye,f
Pv16.A001,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A002,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A003,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A004,Harbour,FEMALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A007,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A008,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A010,Harbour,MALE,2016,Apr,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A011,Harbour,MALE,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,0,FALSE
Pv16.A012,Harbour,MALE,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,0,FALSE
Pv16.A013,Harbour,MALE,2016,Apr,Spring,Heron,H0203a,Norris-Heron_Rocks,SOG,Non-Estuary,49.48989,-124.65461,0,0,0,0,0,FALSE
Pv16.A014,Harbour,FEMALE,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,0,FALSE
Pv16.A015,Harbour,MALE,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,0,FALSE
Pv16.A016,Harbour,MALE,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,0,FALSE
Pv16.A018,Harbour,MALE,2016,May,Spring,Danger,H0028,Danger_Reefs,SOG,Non-Estuary,49.05388,-123.7145,0,0,0,0,0,FALSE
Pv16.A019,Harbour,FEMALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A020,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A021,Harbour,FEMALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A022,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A023,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A024,Harbour,FEMALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A025,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A026,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A027,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A028,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A029,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A030,Harbour,MALE,2016,May,Spring,Chemainus,H1918,Chemainus_Logbooms,SOG,Estuary,48.91291011,-123.6883997,0,0,0,0,0,FALSE
Pv16.A031,Harbour,MALE,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,0,0,FALSE
Pv16.A032,Harbour,FEMALE,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,1.01010101,0,0,0,0,FALSE
Pv16.A033,Harbour,FEMALE,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,34.7826087,0,FALSE
Pv16.A034,Harbour,FEMALE,2016,May,Spring,Great Chain,H0004,Chain_Islets,SOG,Non-Estuary,48.4205078,-123.265279,0,0,0,0,0,FALSE
Pv16.A036,Harbour,FEMALE,2016,Jun,Summer,Norway,H0181a,Norway_Island,SOG,Non-Estuary,48.973633,-123.617013,0,0,0,0,0,FALSE
Pv16.A037,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,1.309328969,FALSE
Pv16.A038,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,59.69735268,4.919169798,29.10660736,0,0,FALSE
Pv16.A039,Harbour,FEMALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,6.25,0,0,FALSE
Pv16.A040,Harbour,FEMALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,9.420289855,0,FALSE
Pv16.A041,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A042,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A045,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A046,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A047,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A048,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A049,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A051,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A053,Harbour,MALE,2016,May,Spring,Cowichan,H0175,Cowichan_Bay,SOG,Estuary,48.75616,-123.62233,0,0,0,0,0,FALSE
Pv16.A054,Harbour,MALE,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,0,0,FALSE
Pv16.A055,Harbour,MALE,2016,May,Spring,Yeo,H0092,East_Yeo_Islands_Islet,SOG,Non-Estuary,49.30609,-124.12689,0,0,0,0,0,FALSE
