"sampleID","sex","Season","Location","SubSiteID","Estuary","Year","Complex","prey.name","sizeclass","count"
"Pv16.A001","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",7
"Pv16.A002","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.LG",1
"Pv16.A002","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM",2
"Pv16.A002","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",2
"Pv16.A002","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.VSM",1
"Pv16.A003","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A003","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",2
"Pv16.A003","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",1
"Pv16.A004","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A004","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",2
"Pv16.A005","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.MED.LG",3
"Pv16.A005","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A005","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",1
"Pv16.A005","FEMALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.SM.MED",1
"Pv16.A007","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",3
"Pv16.A007","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.VSM",1
"Pv16.A008","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",2
"Pv16.A009",NA,"Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HAKE","SIZE.SM.MED",1
"Pv16.A010","MALE","Spring","Cowichan","H0175","Estuary",2016,"Cowichan_Bay","HERRING","SIZE.MED.LG",12
"Pv16.A011","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HERRING","SIZE.MED.LG",9
"Pv16.A012","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HAKE","SIZE.LG",1
"Pv16.A012","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HAKE","SIZE.VLG",1
"Pv16.A013","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HAKE","SIZE.MED.LG",1
"Pv16.A013","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HAKE","SIZE.SM.MED",1
"Pv16.A013","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HERRING","SIZE.LG",1
"Pv16.A013","MALE","Spring","Heron","H0203a","Non-Estuary",2016,"Norris-Heron_Rocks","HERRING","SIZE.MED.LG",1
"Pv16.A014","FEMALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HAKE","SIZE.VSM",1
"Pv16.A014","FEMALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HERRING","SIZE.MED.LG",2
"Pv16.A014","FEMALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HERRING","SIZE.SM.MED",3
"Pv16.A015","MALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HAKE","SIZE.SM",1
"Pv16.A017",NA,"Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HERRING","SIZE.SM.MED",1
"Pv16.A018","MALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HERRING","SIZE.MED.LG",1
"Pv16.A018","MALE","Spring","Danger","H0028","Non-Estuary",2016,"Danger_Reefs","HERRING","SIZE.SM.MED",4
"Pv16.A019","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM.MED",5
"Pv16.A020","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.MED.LG",2
"Pv16.A020","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",1
"Pv16.A020","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM.MED",1
"Pv16.A020","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.VSM",1
"Pv16.A021","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",1
"Pv16.A022","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.LG",1
"Pv16.A022","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM",1
"Pv16.A022","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM.MED",1
"Pv16.A023","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",1
"Pv16.A023","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM.MED",7
"Pv16.A024","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.MED.LG",2
"Pv16.A024","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.SM.MED",1
"Pv16.A024","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.MED.LG",1
"Pv16.A024","FEMALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.VSM",1
"Pv16.A025","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.LG",1
"Pv16.A025","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HERRING","SIZE.SM",1
"Pv16.A026","MALE","Spring","Chemainus","H1918","Estuary",2016,"Chemainus_Logbooms","HAKE","SIZE.MED.LG",2
